Time;Hip_x;Hip_vel;Omega;GP_AO;GP_Model;target_cos;target_sin;target_omega;Unnamed: 9
17:16:39.104640;0.024133776;-0.003516653;0.003463077;1.911288742;0.012793052;1;0;0;
17:16:39.115907;0.024133776;-0.002813322;0.003404831;1.911267495;0.016532119;1;0;0;
17:16:39.126857;0.024133776;-0.002250658;0.00334859;1.911247761;0.018413417;1;0;0;
17:16:39.136910;0.024133776;-0.001800526;0.003297858;1.911230656;0.017076898;1;0;0;
17:16:39.147582;0.024133776;-0.001440421;0.003245662;1.911213788;0.01468652;1;0;0;
17:16:39.158349;0.024133776;-0.001152337;0.00319609;1.911198491;0.014348524;1;0;0;
17:16:39.169413;0.024133776;-0.000921869;0.003147571;1.911184239;0.01642894;1;0;0;
17:16:39.178741;0.024133776;-0.000737496;0.003103825;1.911172032;0.019028617;1;0;0;
17:16:39.190146;0.024133776;-0.000589996;0.003058695;1.911160112;0.020627452;1;0;0;
17:16:39.200355;0.024133776;-0.000471997;0.003017066;1.911149753;0.019669028;1;0;0;
17:16:39.210506;0.024133776;-0.000377598;0.002977471;1.911140494;0.019795721;1;0;0;
17:16:39.220194;0.024133776;-0.000302078;0.002939335;1.911132149;0.018997137;1;0;0;
17:16:39.231238;0.024133776;-0.000241663;0.002901788;1.911124507;0.018585505;1;0;0;
17:16:39.240890;0.02312063;-0.018867339;0.002834312;1.91108815;0.015803574;1;0;0;
17:16:39.251544;0.02312063;-0.015093871;0.002773934;1.911056171;0.015124726;1;0;0;
17:16:39.261491;0.02312063;-0.012075097;0.002713827;1.911024893;0.013323085;1;0;0;
17:16:39.272536;0.02312063;-0.009660078;0.002653569;1.910994137;0.011699726;1;0;0;
17:16:39.283645;0.02312063;-0.007728062;0.002595947;1.91096533;0.011277253;1;0;0;
17:16:39.293744;0.02312063;-0.00618245;0.002544834;1.910940306;0.008176588;1;0;0;
17:16:39.303850;0.02312063;-0.00494596;0.002496073;1.910916931;0.01023141;1;0;0;
