Time;Hip_x;Hip_vel;Omega;GP_AO;GP_Model;target_cos;target_sin;target_omega
17:20:52.693665;0.01463898;-0.003892017;0.077856286;-0.295291157;-0.028399874;1;0;0
17:20:52.704306;0.01463898;-0.003113613;0.078262674;-0.294039531;-0.025077872;1;0;0
17:20:52.714775;0.01463898;-0.002490891;0.078646273;-0.292861625;-0.020478522;1;0;0
17:20:52.724999;0.01463898;-0.001992713;0.079033561;-0.291675686;-0.016504364;1;0;0
17:20:52.736211;0.01463898;-0.00159417;0.079458264;-0.290378779;-0.011144637;1;0;0
17:20:52.747984;0.01463898;-0.001275336;0.079871126;-0.289121452;-0.00789436;1;0;0
17:20:52.758823;0.013625492;-0.020856508;0.080390155;-0.287783599;-0.008756221;1;0;0
17:20:52.766337;0.013625492;-0.016685206;0.080896364;-0.286463759;-0.009306014;1;0;0
17:20:52.777668;0.013625492;-0.013348165;0.081411611;-0.285106049;-0.011543945;1;0;0
17:20:52.786769;0.013625492;-0.010678532;0.081906902;-0.283788227;-0.011197217;1;0;0
17:20:52.798066;0.013625492;-0.008542826;0.08243171;-0.28237929;-0.011558466;1;0;0
17:20:52.808204;0.013625492;-0.006834261;0.082941305;-0.280999792;-0.011312828;1;0;0
17:20:52.818626;0.013625492;-0.005467408;0.083426359;-0.279677181;-0.009644151;1;0;0
17:20:52.829468;0.013625492;-0.004373927;0.083931861;-0.278289793;-0.008640622;1;0;0
17:20:52.839657;0.013625492;-0.003499141;0.084415902;-0.276953491;-0.005081065;1;0;0
17:20:52.850481;0.012361704;-0.025988347;0.085092033;-0.275353538;-0.004495375;1;0;0
17:20:52.859859;0.012361704;-0.020790677;0.085705507;-0.273877309;-0.003629453;1;0;0
17:20:52.873244;0.010343978;-0.056603004;0.086539449;-0.272173841;-0.008954359;1;0;0
17:20:52.880815;0.010343978;-0.045282403;0.08740461;-0.270363459;-0.014172197;1;0;0
17:20:52.891104;0.009340516;-0.055859774;0.088307596;-0.268562399;-0.02280991;1;0;0
17:20:52.902270;0.008337581;-0.063447638;0.089338023;-0.266582205;-0.028560169;1;0;0
17:20:52.913254;0.006067866;-0.092830319;0.090611978;-0.264337392;-0.036700461;1;0;0
17:20:52.923324;0.005065586;-0.09365885;0.091889681;-0.262116495;-0.045375139;1;0;0
17:20:52.934381;0.005065586;-0.07492708;0.09316706;-0.259831455;-0.045315046;1;0;0
17:20:52.946340;0.005065586;-0.059941664;0.094380619;-0.257596896;-0.046229038;1;0;0
17:20:52.954732;0.005065586;-0.047953331;0.095458407;-0.255557526;-0.041452315;1;0;0
17:20:52.967503;0.00279387;-0.078040913;0.096918973;-0.252995453;-0.040156767;1;0;0
17:20:52.976709;0.00279387;-0.06243273;0.09814432;-0.25078287;-0.032088943;1;0;0
17:20:52.986633;0.001792269;-0.069440548;0.09944925;-0.248462668;-0.025248567;1;0;0
17:20:52.996805;-0.000209311;-0.094963629;0.100911284;-0.245982995;-0.019231116;1;0;0
17:20:53.008419;-0.001209286;-0.094399049;0.102515731;-0.2432746;-0.016429905;1;0;0
17:20:53.018909;-0.001209286;-0.075519239;0.10400119;-0.240692661;-0.014194911;1;0;0
17:20:53.028781;-0.003482464;-0.105394449;0.105608865;-0.238025572;-0.01631663;1;0;0
17:20:53.039754;-0.005480424;-0.12244091;0.107427607;-0.235090317;-0.022460209;1;0;0
17:20:53.049962;-0.005480424;-0.097952728;0.109236643;-0.23208294;-0.022128526;1;0;0
17:20:53.060613;-0.006478576;-0.096909044;0.111022163;-0.229111943;-0.020275962;1;0;0
17:20:53.071536;-0.006756756;-0.082915467;0.112675966;-0.22630317;-0.012687643;1;0;0
17:20:53.083093;-0.006478576;-0.061463851;0.114372259;-0.223309468;-0.006198503;1;0;0
17:20:53.092972;-0.005480424;-0.029349978;0.115677848;-0.220845345;0.007273351;1;0;0
17:20:53.102694;-0.00448172;-0.003746334;0.116820768;-0.218525734;0.024808221;1;0;0
17:20:53.113087;-0.00448172;-0.002997067;0.1179438;-0.216194779;0.041590512;1;0;0
17:20:53.123184;-0.003482464;0.017438492;0.118893365;-0.214052116;0.062439807;1;0;0
17:20:53.135044;-0.003482464;0.013950793;0.119880375;-0.211786559;0.08669509;1;0;0
17:20:53.144567;-0.00448172;-0.008095894;0.120936921;-0.209480344;0.110417552;1;0;0
17:20:53.156166;-0.00448172;-0.006476715;0.12203833;-0.207028927;0.118649989;1;0;0
17:20:53.167721;-0.005480424;-0.023511665;0.123217049;-0.20451393;0.122359179;1;0;0
17:20:53.177251;-0.006494413;-0.038775982;0.124403578;-0.202069848;0.116821349;1;0;0
17:20:53.187696;-0.007492565;-0.048699258;0.125809398;-0.199251239;0.100945108;1;0;0
17:20:53.199463;-0.006494413;-0.022114547;0.127093402;-0.196468606;0.087191798;1;0;0
17:20:53.211676;-0.006494413;-0.017691638;0.128250304;-0.193909293;0.078716747;1;0;0
17:20:53.221479;-0.006494413;-0.01415331;0.129310194;-0.191522296;0.073462285;1;0;0
17:20:53.232029;-0.005495709;0.007225554;0.130270723;-0.189164078;0.071579494;1;0;0
17:20:53.242194;-0.005495709;0.005780443;0.131230909;-0.186782246;0.072614819;1;0;0
17:20:53.253907;-0.005495709;0.004624354;0.132146457;-0.184490198;0.08031524;1;0;0
17:20:53.263530;-0.00750865;-0.033949014;0.133325277;-0.181891962;0.07985504;1;0;0
17:20:53.273687;-0.00750865;-0.027159211;0.134417973;-0.17944177;0.077871248;1;0;0
