Time;Hip_x;Hip_x_vel;Hip_x_omega;Hip_x_ao;target_cos;target_sin
17:14:13.488371;-0.300616806;-0.107503821;0.001;2.187935511;0.107115587;0.994246575
17:14:13.502823;-0.300616806;-0.107503821;0.001;2.187935511;0.068242413;0.997668769
17:14:13.513055;-0.303220713;-0.145746098;0.001;2.179610991;0.029265318;0.999571679
17:14:13.523141;-0.300693052;0.144436252;0.001;2.173131603;-0.009756344;0.999952406
17:14:13.536433;-0.300693052;0.144436252;0.001;2.173131603;-0.048763149;0.99881037
17:14:13.546969;-0.297445897;0.192029897;0.001;2.168356813;-0.087695695;0.996147311
17:14:13.557631;-0.289362202;0.507446455;0.001;2.165921812;-0.126494695;0.991967284
17:14:13.569770;-0.289362202;0.507446455;0.001;2.165921812;-0.165101065;0.986276654
17:14:13.580948;-0.269525321;1.133862585;0.0042191;2.167577634;-0.203456013;0.979084088
17:14:13.591075;-0.24611694;1.398160887;0.015928094;2.173602697;-0.241501131;0.970400538
17:14:13.603318;-0.24611694;1.398160887;0.015928094;2.173602697;-0.279178483;0.960239228
17:14:13.613916;-0.220145469;1.547380407;0.036568553;2.184366654;-0.316430692;0.948615632
17:14:13.625106;-0.211060476;0.544197252;0.058562065;2.196160881;-0.353201029;0.935547451
17:14:13.637360;-0.211060476;0.544197252;0.058562065;2.196160881;-0.389433499;0.921054586
17:14:13.647676;-0.151943765;3.492304508;0.103334313;2.219923084;-0.425072926;0.905159106
17:14:13.659299;-0.104636649;2.971947531;0.161561288;2.251150787;-0.460065038;0.887885218
17:14:13.672443;-0.104636649;2.971947531;0.161561288;2.251150787;-0.494356546;0.869259228
17:14:13.683581;-0.105632137;-0.055736105;0.220855497;2.284222012;-0.527895231;0.849309499
17:14:13.693653;-0.0316677;4.342362489;0.308994189;2.332813745;-0.560630018;0.828066412
17:14:13.704406;-0.0316677;4.342362489;0.308994189;2.332813745;-0.592511058;0.805562317
17:14:13.715031;0.013791877;2.788441464;0.410173123;2.389276014;-0.623489802;0.781831482
17:14:13.726183;0.053902404;2.30650378;0.532800069;2.458804994;-0.653519073;0.756910048
17:14:13.737929;0.053902404;2.30650378;0.532800069;2.458804994;-0.682553143;0.730835964
17:14:13.748162;0.07118859;1.05386497;0.647626724;2.525916511;-0.710547797;0.703648938
17:14:13.758479;0.109503034;2.331067953;0.774156435;2.600887447;-0.737460404;0.67539037
17:14:13.771581;0.109503034;2.331067953;0.774156435;2.600887447;-0.76324998;0.646103295
17:14:13.784301;0.151214873;2.406583335;0.919656112;2.688347975;-0.787877253;0.61583231
17:14:13.794416;0.174209937;1.330732785;1.059189989;2.775248948;-0.811304718;0.584623515
17:14:13.806302;0.174209937;1.330732785;1.059189989;2.775248948;-0.8334967;0.552524434
17:14:13.817540;0.218271445;2.586952512;1.205479128;2.867721873;-0.854419405;0.51958395
17:14:13.827615;0.261543456;2.559822541;1.355543054;2.964447792;-0.874040969;0.485852225
17:14:13.839176;0.261543456;2.559822541;1.355543054;2.964447792;-0.892331513;0.451380628
17:14:13.849652;0.30456453;2.660964484;1.501113755;3.060372476;-0.909263183;0.416221652
17:14:13.859778;0.325679832;1.175707222;1.641902664;-3.124131472;-0.924810196;0.380428839
17:14:13.873295;0.325679832;1.175707222;1.641902664;-3.124131472;-0.938948875;0.344056696
17:14:13.884194;0.366693127;2.538487738;1.766188151;-3.03440919;-0.95165769;0.307160611
17:14:13.894267;0.402047586;2.16078472;1.885389393;-2.944885569;-0.962917287;0.269796771
17:14:13.906335;0.402047586;2.16078472;1.885389393;-2.944885569;-0.97271052;0.232022075
17:14:13.916852;0.419354583;1.030982628;1.986506536;-2.861780816;-0.981022476;0.193894048
